episode,run_name,state_mode,reward_mode,sentiment_imputation_mode,episode_reward,average_loss,epsilon,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown
11,reward_only_none,price_only,differential_sharpe,none,-341.0746792740559,21712.898822284016,0.050000000000000044,0.03799490297560282,0.06729275082551434,0.3048995708033831,0.2207046426736645,-0.2892179612113972
12,reward_only_none,price_only,differential_sharpe,none,-343.02078612854837,32366.779102523822,0.050000000000000044,-0.18709332062502637,-0.07678320356991397,0.2202433576540106,-0.3486289184282047,-0.31195404466322674
13,reward_only_none,price_only,differential_sharpe,none,11274.606389527897,41525.21774180796,0.050000000000000044,-0.1018885204630644,-0.044113302757391004,0.1338815143313032,-0.3294950985408503,-0.17510241657756787
14,reward_only_none,price_only,differential_sharpe,none,779.2421995961121,24136.525437397246,0.050000000000000044,0.0,0.0,0.0,0.0,0.0
15,reward_only_none,price_only,differential_sharpe,none,367.7457334025096,16321.681108530274,0.050000000000000044,0.0,0.0,0.0,0.0,0.0
16,reward_only_none,price_only,differential_sharpe,none,755.6315450237761,13578.68219511395,0.050000000000000044,0.013695928670039548,0.05441076489920493,0.3041702271162433,0.1788826125918334,-0.3050094481929232
17,reward_only_none,price_only,differential_sharpe,none,-343.21937535684776,13438.353563468796,0.050000000000000044,0.009582507719333666,0.05269670599425602,0.30544033010373584,0.17252700707977492,-0.3168559195711026
18,reward_only_none,price_only,differential_sharpe,none,-346.4045663381165,12098.90962021906,0.050000000000000044,0.16936066093814683,0.0982942360484762,0.1754349710111915,0.5602887239751403,-0.1207740031310297
19,reward_only_none,price_only,differential_sharpe,none,63.59056610879518,9469.658838389392,0.050000000000000044,0.15920245061758442,0.0839707787457753,0.11465181681045601,0.7323981519158739,-0.05762963277934241
20,reward_only_none,price_only,differential_sharpe,none,3556.449079523658,1343.7370172202309,0.050000000000000044,0.15645834317711516,0.08467399024289168,0.12965169863601694,0.6530881672488126,-0.08490130462855627
21,reward_only_none,price_only,differential_sharpe,none,704.2012624751512,1202.7769216445581,0.050000000000000044,0.2247765166231932,0.11337584120214128,0.10687562646397922,1.0608203661884767,-0.047765522324764276
22,reward_only_none,price_only,differential_sharpe,none,112.86485161626659,795.9269354010353,0.050000000000000044,0.15624844268667593,0.08234694910219909,0.11263346550574706,0.7311055265186471,-0.047765522324764276
23,reward_only_none,price_only,differential_sharpe,none,724.5516850151105,1213.234546897566,0.050000000000000044,0.12083001064834153,0.0995268063406447,0.2748762076115473,0.3620786506240479,-0.23906673383149135
24,reward_only_none,price_only,differential_sharpe,none,-351.1762205707496,1856.4614455290612,0.050000000000000044,0.1565687920230754,0.09327397044306296,0.18068577039116124,0.5162220037645295,-0.12471820778009446
25,reward_only_none,price_only,differential_sharpe,none,1509.3473957509266,2057.010142526212,0.050000000000000044,0.07752074621245386,0.08115008502907695,0.28531189073759555,0.28442587800769775,-0.24694693697679104
26,reward_only_none,price_only,differential_sharpe,none,-349.00870901190467,1510.7592049011328,0.050000000000000044,0.03067953352095132,0.05984298685104261,0.2935139074683766,0.2038846723387039,-0.2703992417437703
27,reward_only_none,price_only,differential_sharpe,none,-348.6711483226598,224.79669749119637,0.050000000000000044,0.07564142703645871,0.08301676813722803,0.29420634248444977,0.28217191864793284,-0.23845227093152144
28,reward_only_none,price_only,differential_sharpe,none,-346.3262211870239,342.90375176848534,0.050000000000000044,0.08197042065471116,0.08629704226467294,0.2944736999198808,0.29305517704349243,-0.26265225498095834
29,reward_only_none,price_only,differential_sharpe,none,-335.69458741662703,398.8382047793032,0.050000000000000044,0.1088122511537768,0.060824863833822906,0.12066632966587149,0.5040748649788942,-0.11186841530807667
30,reward_only_none,price_only,differential_sharpe,none,287.5110512135671,294.6023521513324,0.050000000000000044,0.10322474101531598,0.056089492355420045,0.10314204494910409,0.5438082246972867,-0.11253117481238295
31,reward_only_none,price_only,differential_sharpe,none,330.5982739676066,233.78361851588122,0.050000000000000044,0.16981262075607173,0.08742826310706353,0.10182372729515303,0.8586236767157241,-0.04072215979439875
32,reward_only_none,price_only,differential_sharpe,none,213.25664876424202,85.35842443081881,0.050000000000000044,0.0043248170417840015,0.02941111929159912,0.23230484319521974,0.12660570863295859,-0.3167050916051882
33,reward_only_none,price_only,differential_sharpe,none,5820.19759815521,1801.4093634209676,0.050000000000000044,0.3315837188952655,0.18497124973208834,0.22877237896966918,0.8085383845949863,-0.1935368050274805
