episode,seed,run_name,state_mode,reward_mode,sentiment_imputation_mode,episode_reward,average_loss,epsilon,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown
35,45,both_decay_seed45,price_sentiment,differential_sharpe,decay,553.2370439185531,957.4004930538699,0.050000000000000044,-0.5725465697945962,-0.23634617808874048,0.5588324743437764,-0.42292849635532753,-0.7318013170080896
36,45,both_decay_seed45,price_sentiment,differential_sharpe,decay,725.3584251947113,1027.7723064451873,0.050000000000000044,0.10766379421832784,0.10396073122207028,0.3093980008772676,0.33600970571012045,-0.37355264924155895
37,45,both_decay_seed45,price_sentiment,differential_sharpe,decay,339.19572721068016,744.9860637244298,0.050000000000000044,0.4989987886975047,0.362570816175221,0.4615310827336169,0.7855826611454617,-0.4014073499689561
38,45,both_decay_seed45,price_sentiment,differential_sharpe,decay,6543.593605626182,5411.265430887501,0.050000000000000044,-0.3555414474664067,-0.07751302033612928,0.5277958950351527,-0.14686173398708738,-0.6034407738724675
39,45,both_decay_seed45,price_sentiment,differential_sharpe,decay,720.2787883749013,9610.081330241166,0.050000000000000044,-0.38764730671980707,-0.09540229480217344,0.5390715608440579,-0.17697519537628012,-0.6231966986710981
40,45,both_decay_seed45,price_sentiment,differential_sharpe,decay,719.5851316246185,4424.290610681395,0.050000000000000044,0.2413684494707884,0.21478038400114863,0.4155333058403382,0.5168788662242021,-0.4600289072046787
41,45,both_decay_seed45,price_sentiment,differential_sharpe,decay,9703.18817328276,14410.956324470864,0.050000000000000044,-0.5554383697831954,-0.22065837556417767,0.5598102778695073,-0.39416635293647373,-0.7510388608256531
42,45,both_decay_seed45,price_sentiment,differential_sharpe,decay,725.2416652589279,16934.124315791316,0.050000000000000044,-0.6567965313863555,-0.3148901564007196,0.5615422295007306,-0.560759529484879,-0.7400144469416173
43,45,both_decay_seed45,price_sentiment,differential_sharpe,decay,718.9837692807406,18929.7224874507,0.050000000000000044,-0.3515401613902731,-0.06855953287083039,0.5401144849418119,-0.12693518648776195,-0.5099680870425951
44,45,both_decay_seed45,price_sentiment,differential_sharpe,decay,723.3331601291753,14111.805828892118,0.050000000000000044,-0.6281574093038904,-0.27913843722648357,0.5818788594812767,-0.47971915919977753,-0.7650330021911909
45,45,both_decay_seed45,price_sentiment,differential_sharpe,decay,724.8965871859112,9025.74114469524,0.050000000000000044,-0.5763385409255981,-0.22875172223282403,0.5855453717550593,-0.3906643844646656,-0.7322887059826702
46,45,both_decay_seed45,price_sentiment,differential_sharpe,decay,706.1686267831742,10980.290888898218,0.050000000000000044,-0.12778270726271745,-0.003481091084447163,0.3610312987915573,-0.009642075620864615,-0.5261711889789581
47,45,both_decay_seed45,price_sentiment,differential_sharpe,decay,-84.53128035325376,6041.694478499567,0.050000000000000044,-0.4992128465517207,-0.1564284469910614,0.5954177766015605,-0.2627204849070867,-0.6942076381433373
48,45,both_decay_seed45,price_sentiment,differential_sharpe,decay,2.363942082961171,226.66369719726688,0.050000000000000044,-0.2453296379057135,0.011928889101900708,0.5547337289178221,0.021503810711441067,-0.5843972725108452
49,45,both_decay_seed45,price_sentiment,differential_sharpe,decay,717.3789020111446,261.30021288634623,0.050000000000000044,-0.27780592509309054,-0.039594609936024816,0.4953577893382393,-0.07993133607310432,-0.5504961517709475
50,45,both_decay_seed45,price_sentiment,differential_sharpe,decay,715.5355155947301,225.38622111679317,0.050000000000000044,-0.5187612738407854,-0.18503864084587673,0.5708628846603869,-0.32413850298913444,-0.6956196270895088
51,45,both_decay_seed45,price_sentiment,differential_sharpe,decay,716.4379201160549,268.65855210718905,0.050000000000000044,-0.5357309829338379,-0.1903943179022236,0.5900861185632065,-0.3226551378056688,-0.7051489259778191
52,45,both_decay_seed45,price_sentiment,differential_sharpe,decay,-3.4063246918461134,174.37808563562737,0.050000000000000044,-0.3070476827725801,-0.06678452579186955,0.47914782944965395,-0.1393818810962325,-0.5488356453529224
53,45,both_decay_seed45,price_sentiment,differential_sharpe,decay,732.6188269957537,162.33091254037623,0.050000000000000044,0.33707837397047924,0.24058104694883475,0.37509595680628793,0.6413853377605956,-0.35132808789782766
54,45,both_decay_seed45,price_sentiment,differential_sharpe,decay,6542.305457237648,1975.7853848493012,0.050000000000000044,0.43615454413200605,0.32379884979795515,0.4455522845750266,0.7267359208062384,-0.4722672962583008
55,45,both_decay_seed45,price_sentiment,differential_sharpe,decay,718.5900703657792,8210.417739868642,0.050000000000000044,-0.149849732482929,0.009870540959797669,0.42783382494771227,0.023070969110504522,-0.46892679000213633
56,45,both_decay_seed45,price_sentiment,differential_sharpe,decay,6869.007323901117,8952.228787193477,0.050000000000000044,-0.6213581272225086,-0.30393326128184595,0.499081927536494,-0.608984706743607,-0.7194544665509697
57,45,both_decay_seed45,price_sentiment,differential_sharpe,decay,4867.0200666792925,7979.530127365508,0.050000000000000044,-0.05357021353149105,0.08118000721903273,0.4601376356489842,0.17642548865740004,-0.5445650553445978
58,45,both_decay_seed45,price_sentiment,differential_sharpe,decay,4867.494967194717,12723.651679931778,0.050000000000000044,0.24178279141938464,0.21307555258271083,0.41106917413957916,0.5183447604133914,-0.3661436594900451
59,45,both_decay_seed45,price_sentiment,differential_sharpe,decay,130.66365216572973,12190.443505708245,0.050000000000000044,-0.5227883067976437,-0.21398783233305207,0.5101874091455255,-0.4194298575330273,-0.6543414261375056
60,45,both_decay_seed45,price_sentiment,differential_sharpe,decay,-1.6142151496468236,11116.672983194301,0.050000000000000044,-0.5367407616150964,-0.20892543092553117,0.5500149172602335,-0.37985411735056707,-0.7165131508093923
61,45,both_decay_seed45,price_sentiment,differential_sharpe,decay,-0.6785338362871745,10543.335621994896,0.050000000000000044,-0.5795899625212085,-0.252735814600227,0.5348621832421158,-0.4725251149151093,-0.6954845076006253
62,45,both_decay_seed45,price_sentiment,differential_sharpe,decay,712.2458926196161,5889.830023368479,0.050000000000000044,-0.6010155066384262,-0.2787837499383914,0.5174201445580692,-0.538795701849803,-0.7049667974359731
63,45,both_decay_seed45,price_sentiment,differential_sharpe,decay,721.2560553355489,4537.273068238754,0.050000000000000044,-0.644252369362966,-0.3132692231741636,0.5334465452886505,-0.5872551353850312,-0.7392938863746698
64,45,both_decay_seed45,price_sentiment,differential_sharpe,decay,715.2553016813602,628.109579423904,0.050000000000000044,-0.6163980410881836,-0.28594255151229264,0.5356760495794007,-0.5337975288176642,-0.7291509018272806
65,45,both_decay_seed45,price_sentiment,differential_sharpe,decay,709.0599348315698,236.15023038030148,0.050000000000000044,-0.6563562242365211,-0.3236670518928232,0.5373600476942813,-0.6023280913451277,-0.7410781756622489
66,45,both_decay_seed45,price_sentiment,differential_sharpe,decay,721.6173645710254,225.56735792909373,0.050000000000000044,-0.6520610958430377,-0.3204419239058698,0.5346225054186577,-0.599379787902746,-0.7507744976399016
67,45,both_decay_seed45,price_sentiment,differential_sharpe,decay,718.0593273156707,254.079012000509,0.050000000000000044,-0.516288331027062,-0.22325377537038082,0.47234570063153947,-0.4726491107506309,-0.658707733526553
68,45,both_decay_seed45,price_sentiment,differential_sharpe,decay,720.3112022475461,278.122816624467,0.050000000000000044,-0.669081475617355,-0.33438987205868154,0.5428803909064017,-0.6159549647766406,-0.7286105605659752
69,45,both_decay_seed45,price_sentiment,differential_sharpe,decay,0.3828944474557137,263.67104999475185,0.050000000000000044,-0.4981009504260019,-0.1915985399131761,0.5154629645322454,-0.3717018546367174,-0.6636212275728914
70,45,both_decay_seed45,price_sentiment,differential_sharpe,decay,719.0303646547627,268.4672775673484,0.050000000000000044,-0.46938833493854903,-0.19022074272612566,0.46148092044684,-0.4121963320649093,-0.6617118993573499
71,45,both_decay_seed45,price_sentiment,differential_sharpe,decay,4858.832238222184,2681.8388834700995,0.050000000000000044,-0.6783111387799945,-0.34314564443673456,0.5445539472481216,-0.6301407714897769,-0.736179895394077
72,45,both_decay_seed45,price_sentiment,differential_sharpe,decay,-1.6222133645896881,4345.147349777684,0.050000000000000044,-0.648727562127623,-0.3095926540556839,0.5547750826762172,-0.558050755564253,-0.7167992363282851
