dataset,strategy,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,comparison_group,run_name,reward_mode,sentiment_variant,seed,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance
train,double_dqn,206.32431431821794,1.5948724709871565,0.33678031405779535,4.735646367719279,-0.2097099245959565,profit_decay,profit_decay_seed44,profit,decay,44.0,0.005,20.0,1e-06
validation,double_dqn,1.0286681305272283,0.32985050337210975,0.3581625427368086,0.9209519813312707,-0.42606619530945955,profit_decay,profit_decay_seed44,profit,decay,44.0,0.005,20.0,1e-06
test,double_dqn,1.008220403936897,0.45060714649537115,0.2002301531126163,2.250445996722253,-0.10977017652346854,profit_decay,profit_decay_seed44,profit,decay,44.0,0.005,20.0,1e-06
train,double_dqn,238.51586730448474,1.6620406798081047,0.33958645022894923,4.894307999296075,-0.19124885074916342,profit_decay,profit_decay_seed45,profit,decay,45.0,0.005,20.0,1e-06
validation,double_dqn,1.3738159043697,0.378919675909706,0.32261832407872076,1.174513806652989,-0.3178761739608533,profit_decay,profit_decay_seed45,profit,decay,45.0,0.005,20.0,1e-06
test,double_dqn,0.9887858462451704,0.442755722348394,0.19652333790806104,2.252942205548774,-0.156675785615091,profit_decay,profit_decay_seed45,profit,decay,45.0,0.005,20.0,1e-06
train,double_dqn,6.576925501030614,0.510610226654789,0.3803166986182798,1.3425921830671008,-0.44856043419210057,profit_decay,profit_decay_seed46,profit,decay,46.0,0.005,20.0,1e-06
validation,double_dqn,1.59146526196509,0.4274731544911903,0.3462918930556056,1.234430152895751,-0.3237956930690664,profit_decay,profit_decay_seed46,profit,decay,46.0,0.005,20.0,1e-06
test,double_dqn,0.5806917147246962,0.3044893286517456,0.263677147654981,1.154780880177629,-0.23484160841733093,profit_decay,profit_decay_seed46,profit,decay,46.0,0.005,20.0,1e-06
train,double_dqn,0.6771146079624941,0.1375615511268069,0.2904547073981499,0.47360758019404414,-0.3642696820644674,sharpe_none,sharpe_none_seed42,sharpe,none,42.0,0.005,20.0,1e-06
validation,double_dqn,0.49680829587769604,0.1832400121404716,0.29410989148846717,0.6230324699829313,-0.379194463895842,sharpe_none,sharpe_none_seed42,sharpe,none,42.0,0.005,20.0,1e-06
test,double_dqn,0.6381074878182851,0.31694159651199505,0.22990149072020624,1.378597396298391,-0.35212024785856855,sharpe_none,sharpe_none_seed42,sharpe,none,42.0,0.005,20.0,1e-06
train,double_dqn,136.68292626027502,1.3871471788589456,0.2881522606252485,4.813938213946466,-0.19211780477059015,sharpe_none,sharpe_none_seed43,sharpe,none,43.0,0.005,20.0,1e-06
validation,double_dqn,1.495568282305427,0.3813316791931034,0.2760993919684661,1.381139148747767,-0.2447418054514623,sharpe_none,sharpe_none_seed43,sharpe,none,43.0,0.005,20.0,1e-06
test,double_dqn,0.32737027175787925,0.17508461104843676,0.19202663572389211,0.9117725277454964,-0.279082131397289,sharpe_none,sharpe_none_seed43,sharpe,none,43.0,0.005,20.0,1e-06
train,double_dqn,266.7754637604816,1.6644908310426771,0.2831470667748337,5.878538139214862,-0.10863919497716612,sharpe_none,sharpe_none_seed44,sharpe,none,44.0,0.005,20.0,1e-06
validation,double_dqn,1.1247479787366879,0.3164824689545793,0.2836564878776667,1.1157244148459935,-0.34865395198534077,sharpe_none,sharpe_none_seed44,sharpe,none,44.0,0.005,20.0,1e-06
test,double_dqn,0.09425163425786676,0.07184562619839197,0.22005066757096767,0.3264958338525436,-0.24669771563231235,sharpe_none,sharpe_none_seed44,sharpe,none,44.0,0.005,20.0,1e-06
train,double_dqn,95.04642198422178,1.260056099703962,0.30814158146401105,4.089211503742245,-0.19262844220965425,sharpe_none,sharpe_none_seed45,sharpe,none,45.0,0.005,20.0,1e-06
validation,double_dqn,0.6456933999411503,0.21695114104890156,0.2881599760434806,0.7528843666205944,-0.33516335810744924,sharpe_none,sharpe_none_seed45,sharpe,none,45.0,0.005,20.0,1e-06
test,double_dqn,0.08437446470796028,0.06499594905194095,0.20948005614514503,0.3102727307219471,-0.25924434488375037,sharpe_none,sharpe_none_seed45,sharpe,none,45.0,0.005,20.0,1e-06
train,double_dqn,1065.1767775524131,2.343436361834815,0.26035810086128913,9.000819848057375,-0.09831363526041681,sharpe_none,sharpe_none_seed46,sharpe,none,46.0,0.005,20.0,1e-06
validation,double_dqn,0.6572691381289757,0.22223889669182229,0.2959472535720674,0.750940899127837,-0.43538489042871487,sharpe_none,sharpe_none_seed46,sharpe,none,46.0,0.005,20.0,1e-06
test,double_dqn,0.7558647067670237,0.3606099451136153,0.2194045336901931,1.6435847475367542,-0.1715908099580069,sharpe_none,sharpe_none_seed46,sharpe,none,46.0,0.005,20.0,1e-06
train,double_dqn,13.86027917861137,0.6394396441795169,0.2843370620160867,2.24887898765494,-0.20310935004445507,sharpe_sparse,sharpe_sparse_seed42,sharpe,sparse,42.0,0.005,20.0,1e-06
validation,double_dqn,1.1621280913322862,0.3252798895856983,0.2890670876664225,1.1252747319371919,-0.3446700886913244,sharpe_sparse,sharpe_sparse_seed42,sharpe,sparse,42.0,0.005,20.0,1e-06
test,double_dqn,0.35395970044829306,0.1937745053256903,0.22091167287565727,0.8771582904754813,-0.18150672713923754,sharpe_sparse,sharpe_sparse_seed42,sharpe,sparse,42.0,0.005,20.0,1e-06
train,double_dqn,136.22944596893663,1.391196004873604,0.29782715085210737,4.671152381148866,-0.23651844154397716,sharpe_sparse,sharpe_sparse_seed43,sharpe,sparse,43.0,0.005,20.0,1e-06
validation,double_dqn,1.1334996469773828,0.32689887062906386,0.30840782515928833,1.0599564730895696,-0.2729988850523959,sharpe_sparse,sharpe_sparse_seed43,sharpe,sparse,43.0,0.005,20.0,1e-06
test,double_dqn,0.36939999254643374,0.18720453988462693,0.16003343076424842,1.1697839569558772,-0.1137865502493538,sharpe_sparse,sharpe_sparse_seed43,sharpe,sparse,43.0,0.005,20.0,1e-06
train,double_dqn,59.99205442405455,1.0768557245667596,0.280904028881665,3.8335360616006016,-0.19980089823419955,sharpe_sparse,sharpe_sparse_seed44,sharpe,sparse,44.0,0.005,20.0,1e-06
validation,double_dqn,1.7276229956821036,0.4105328725305124,0.2507124066946959,1.6374653250823652,-0.22484624672954767,sharpe_sparse,sharpe_sparse_seed44,sharpe,sparse,44.0,0.005,20.0,1e-06
test,double_dqn,0.4577126831690792,0.2244414441848357,0.15535741644838363,1.4446780161242236,-0.1457733009637815,sharpe_sparse,sharpe_sparse_seed44,sharpe,sparse,44.0,0.005,20.0,1e-06
train,double_dqn,18.831781108156807,0.7390520576303155,0.31967556970384686,2.3118815689137158,-0.28015364121440134,sharpe_sparse,sharpe_sparse_seed45,sharpe,sparse,45.0,0.005,20.0,1e-06
validation,double_dqn,0.6066749482318783,0.20966194269724836,0.2925368680917761,0.7167026298766287,-0.276242201501931,sharpe_sparse,sharpe_sparse_seed45,sharpe,sparse,45.0,0.005,20.0,1e-06
