dataset,strategy,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,comparison_group,run_name,reward_mode,sentiment_variant,seed,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance
test,double_dqn,-0.20760671961134003,-0.06615629835919534,0.3133211908694879,-0.2111453048407197,-0.33800416100127395,profit_decay,profit_decay_seed43,profit,decay,43.0,0.005,20.0,1e-06
train,double_dqn,2.4144353772839455,0.28386073081023966,0.2928985998069878,0.9691433519904027,-0.3741245243246064,profit_decay,profit_decay_seed44,profit,decay,44.0,0.005,20.0,1e-06
validation,double_dqn,1.7846803853175675,0.457991508176524,0.3438203024316472,1.3320665037445674,-0.45375749769677176,profit_decay,profit_decay_seed44,profit,decay,44.0,0.005,20.0,1e-06
test,double_dqn,0.3925791973713224,0.21967570045285134,0.25309521242562855,0.8679567596222412,-0.14566785701038742,profit_decay,profit_decay_seed44,profit,decay,44.0,0.005,20.0,1e-06
train,double_dqn,2.939189785848367,0.2909291308933133,0.22010561427167125,1.321770604788964,-0.23137465785492195,profit_decay,profit_decay_seed45,profit,decay,45.0,0.005,20.0,1e-06
validation,double_dqn,2.000083747012331,0.4910044198242751,0.340298558254687,1.442863649915309,-0.23966557505492758,profit_decay,profit_decay_seed45,profit,decay,45.0,0.005,20.0,1e-06
test,double_dqn,0.049229538721159205,0.06720582217397753,0.28675466398317573,0.23436697154442998,-0.31662472349948356,profit_decay,profit_decay_seed45,profit,decay,45.0,0.005,20.0,1e-06
train,double_dqn,20.42682903155244,0.7336289290739644,0.2622177840503028,2.7977847945402052,-0.25557711050476983,profit_decay,profit_decay_seed46,profit,decay,46.0,0.005,20.0,1e-06
validation,double_dqn,1.5379517149454687,0.4369149796872951,0.38552679355780595,1.1332934234097116,-0.5168585561000816,profit_decay,profit_decay_seed46,profit,decay,46.0,0.005,20.0,1e-06
test,double_dqn,0.20333904732212105,0.13920194500935756,0.2740164475027703,0.5080058013961013,-0.2607196634451969,profit_decay,profit_decay_seed46,profit,decay,46.0,0.005,20.0,1e-06
train,double_dqn,49.50751086757173,0.9836883387552615,0.22228182348501974,4.425410604126861,-0.14122235895933433,sharpe_none,sharpe_none_seed42,sharpe,none,42.0,0.005,20.0,1e-06
validation,double_dqn,0.8418143626843058,0.2718035659471967,0.317895372018284,0.8550095090140655,-0.3874625454513062,sharpe_none,sharpe_none_seed42,sharpe,none,42.0,0.005,20.0,1e-06
test,double_dqn,-0.3063895988143346,-0.12926871974709564,0.30471536930952076,-0.42422776389657046,-0.37729653469206237,sharpe_none,sharpe_none_seed42,sharpe,none,42.0,0.005,20.0,1e-06
train,double_dqn,5.9119483194485465,0.4307134956148273,0.25675481772168296,1.6775283885099754,-0.20482141771062579,sharpe_none,sharpe_none_seed43,sharpe,none,43.0,0.005,20.0,1e-06
validation,double_dqn,1.2849443932626952,0.39221168413060736,0.38018897731274626,1.031622975770734,-0.5584428301623346,sharpe_none,sharpe_none_seed43,sharpe,none,43.0,0.005,20.0,1e-06
test,double_dqn,0.4239580778766472,0.25340321275884214,0.30961154195037965,0.8184553171452962,-0.24077751142189463,sharpe_none,sharpe_none_seed43,sharpe,none,43.0,0.005,20.0,1e-06
train,double_dqn,1.683818857890241,0.22756558760943912,0.2770966951202855,0.8212497356226305,-0.39331696923663595,sharpe_none,sharpe_none_seed44,sharpe,none,44.0,0.005,20.0,1e-06
validation,double_dqn,1.7800195221447765,0.4881141697019673,0.3957464594873744,1.2334012294999186,-0.556680289817913,sharpe_none,sharpe_none_seed44,sharpe,none,44.0,0.005,20.0,1e-06
test,double_dqn,0.08870127220967428,0.09595793880303005,0.31165829195282957,0.3078947080206471,-0.3162188396703006,sharpe_none,sharpe_none_seed44,sharpe,none,44.0,0.005,20.0,1e-06
train,double_dqn,2.918995271458928,0.30810622628212014,0.2781431361128849,1.1077254344219183,-0.345921259233249,sharpe_none,sharpe_none_seed45,sharpe,none,45.0,0.005,20.0,1e-06
validation,double_dqn,1.646711579140549,0.4999466768721088,0.44715185406949604,1.118069113036502,-0.6563404323573248,sharpe_none,sharpe_none_seed45,sharpe,none,45.0,0.005,20.0,1e-06
test,double_dqn,0.21263474817211203,0.15545188346655703,0.3081513127850986,0.5044660756482563,-0.3420934544563652,sharpe_none,sharpe_none_seed45,sharpe,none,45.0,0.005,20.0,1e-06
