dataset,strategy,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,comparison_group,run_name,reward_mode,sentiment_variant,seed,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance
validation,double_dqn,0.6769787359278612,0.2696949753480571,0.3943155071972841,0.6839573144485114,-0.4120680458781346,profit_sparse,profit_sparse_seed44,profit,sparse,44.0,0.005,20.0,1e-06
test,double_dqn,0.07155948177319682,0.16037540986004228,0.4804853936395935,0.33377790872106716,-0.6271575022884415,profit_sparse,profit_sparse_seed44,profit,sparse,44.0,0.005,20.0,1e-06
train,double_dqn,741.9324482275323,2.3046462975148496,0.4120777046644837,5.592746881055619,-0.24865144952008367,profit_sparse,profit_sparse_seed45,profit,sparse,45.0,0.005,20.0,1e-06
validation,double_dqn,0.32754539203227173,0.19796308237226712,0.43049469782858824,0.4598502220138629,-0.5629270501773671,profit_sparse,profit_sparse_seed45,profit,sparse,45.0,0.005,20.0,1e-06
test,double_dqn,0.05121286327404495,0.13973221919674317,0.46417616912090026,0.3010327295806266,-0.4904369869342371,profit_sparse,profit_sparse_seed45,profit,sparse,45.0,0.005,20.0,1e-06
train,double_dqn,10.667336220754299,0.6746776320486645,0.45358520209872666,1.4874330752567524,-0.4825169777734638,profit_sparse,profit_sparse_seed46,profit,sparse,46.0,0.005,20.0,1e-06
validation,double_dqn,0.8605925304654463,0.3075271835079161,0.38542855723879943,0.797883752338003,-0.4031973201062382,profit_sparse,profit_sparse_seed46,profit,sparse,46.0,0.005,20.0,1e-06
test,double_dqn,0.13480129660149243,0.14869122338719643,0.387373714322257,0.38384438047724606,-0.418333910191808,profit_sparse,profit_sparse_seed46,profit,sparse,46.0,0.005,20.0,1e-06
train,double_dqn,280.49756735666017,1.7695600460422196,0.3765300327499954,4.699651799667078,-0.179079752685525,profit_decay,profit_decay_seed42,profit,decay,42.0,0.005,20.0,1e-06
validation,double_dqn,1.2594735678543305,0.43098362883500707,0.45724024751106146,0.9425758803627207,-0.5249951410227001,profit_decay,profit_decay_seed42,profit,decay,42.0,0.005,20.0,1e-06
test,double_dqn,0.056466953537521514,0.12895065912503623,0.43204144304229947,0.29846826317634345,-0.4852708750371213,profit_decay,profit_decay_seed42,profit,decay,42.0,0.005,20.0,1e-06
train,double_dqn,47.153820148359316,1.126910722083954,0.4554899295783413,2.474062869243156,-0.4280944933176446,profit_decay,profit_decay_seed43,profit,decay,43.0,0.005,20.0,1e-06
validation,double_dqn,0.4716436614672881,0.2732624495936342,0.4934683021879449,0.5537588703915537,-0.6504486442891062,profit_decay,profit_decay_seed43,profit,decay,43.0,0.005,20.0,1e-06
test,double_dqn,0.9580104569607517,0.5832615678701345,0.4929377050995463,1.1832358568560863,-0.4382990339018189,profit_decay,profit_decay_seed43,profit,decay,43.0,0.005,20.0,1e-06
train,double_dqn,22.97485350588129,0.9069371121562395,0.47168282946417883,1.9227689784393887,-0.4600151673052233,profit_decay,profit_decay_seed44,profit,decay,44.0,0.005,20.0,1e-06
validation,double_dqn,1.059215780651869,0.3776503323462439,0.43788295074219025,0.8624458470149272,-0.4760782697295959,profit_decay,profit_decay_seed44,profit,decay,44.0,0.005,20.0,1e-06
test,double_dqn,1.4697643121357649,0.8007623717161347,0.5185423543120223,1.5442564431955585,-0.5654373811793673,profit_decay,profit_decay_seed44,profit,decay,44.0,0.005,20.0,1e-06
train,double_dqn,46.52212342644887,1.1349402489948481,0.46710976801904325,2.429707804672966,-0.4636355017613809,profit_decay,profit_decay_seed45,profit,decay,45.0,0.005,20.0,1e-06
validation,double_dqn,0.4464061064857323,0.27520585526986974,0.5070602769516624,0.5427478108211281,-0.5497555845363653,profit_decay,profit_decay_seed45,profit,decay,45.0,0.005,20.0,1e-06
test,double_dqn,0.5986539130459425,0.4343505560302279,0.5030861899880453,0.8633720516966471,-0.3958739714361691,profit_decay,profit_decay_seed45,profit,decay,45.0,0.005,20.0,1e-06
train,double_dqn,53.186523852041844,1.0907104320081755,0.3633381777416381,3.001915292215056,-0.3095654369149703,profit_decay,profit_decay_seed46,profit,decay,46.0,0.005,20.0,1e-06
validation,double_dqn,0.9653433556830078,0.3525399751482825,0.4281924989740835,0.8233212305048344,-0.4838199431359881,profit_decay,profit_decay_seed46,profit,decay,46.0,0.005,20.0,1e-06
test,double_dqn,0.8055094716644293,0.5071887100180001,0.47447140511747854,1.0689552722200844,-0.37022301128500934,profit_decay,profit_decay_seed46,profit,decay,46.0,0.005,20.0,1e-06
train,double_dqn,8.605966483745844,0.615991849619961,0.44420747738330457,1.386721027859746,-0.4808954013850064,sharpe_none,sharpe_none_seed42,sharpe,none,42.0,0.005,20.0,1e-06
validation,double_dqn,-0.13541075822885063,0.08364170324307385,0.5024841943428461,0.1664563864590036,-0.6397221277636039,sharpe_none,sharpe_none_seed42,sharpe,none,42.0,0.005,20.0,1e-06
test,double_dqn,1.4561677747780912,0.8142138665895411,0.536317175146268,1.5181573597143954,-0.5030578571387982,sharpe_none,sharpe_none_seed42,sharpe,none,42.0,0.005,20.0,1e-06
train,double_dqn,2.2534146284759324,0.35281042850560373,0.4546169429177602,0.7760608881869737,-0.7175960426536816,sharpe_none,sharpe_none_seed43,sharpe,none,43.0,0.005,20.0,1e-06
validation,double_dqn,-0.00026696472800524784,0.12237222765045241,0.47966403112077716,0.25512070889392924,-0.7235725394028464,sharpe_none,sharpe_none_seed43,sharpe,none,43.0,0.005,20.0,1e-06
test,double_dqn,0.47887140800862116,0.3670844420808326,0.48017199128231525,0.7644853276437915,-0.402933979719598,sharpe_none,sharpe_none_seed43,sharpe,none,43.0,0.005,20.0,1e-06
train,double_dqn,8.917638738884172,0.6441733807857382,0.47166348668895347,1.3657478243817276,-0.6481196676952429,sharpe_none,sharpe_none_seed44,sharpe,none,44.0,0.005,20.0,1e-06
validation,double_dqn,1.0377292339355235,0.4186068617880878,0.5060843082147946,0.8271484711010262,-0.45160417696896316,sharpe_none,sharpe_none_seed44,sharpe,none,44.0,0.005,20.0,1e-06
test,double_dqn,0.5321805166949598,0.44282635501956147,0.5561543234179914,0.7962292773308973,-0.5891341095996889,sharpe_none,sharpe_none_seed44,sharpe,none,44.0,0.005,20.0,1e-06
train,double_dqn,5.250574350465933,0.5147215852396148,0.4638893889282802,1.1095782691403477,-0.7073500373169976,sharpe_none,sharpe_none_seed45,sharpe,none,45.0,0.005,20.0,1e-06
validation,double_dqn,0.764261693156105,0.306435660991875,0.4252420539584906,0.7206146667276405,-0.3699856362489595,sharpe_none,sharpe_none_seed45,sharpe,none,45.0,0.005,20.0,1e-06
test,double_dqn,0.342476040956202,0.3197593176459317,0.5124448423610187,0.6239877762700955,-0.4225794707298641,sharpe_none,sharpe_none_seed45,sharpe,none,45.0,0.005,20.0,1e-06
