episode,seed,run_name,reward_mode,sentiment_variant,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance,episode_reward,average_loss,epsilon,validation_cumulative_return,validation_annualized_return,validation_annualized_volatility,validation_sharpe_ratio,validation_max_drawdown,validation_selector
21,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,24.21883941441691,1.6270595825188305,0.050000000000000044,0.0001996222062208286,0.08852489477800418,0.4121441263874565,0.2147911109493332,-0.564084899273902,sharpe_ratio
22,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,29.939010844497087,1.6467717952862053,0.050000000000000044,-0.2087193694597016,-0.01255037085146582,0.3482250530052337,-0.03604097621108609,-0.4821099338423428,sharpe_ratio
23,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,38.23895627508472,1.6021702168938632,0.050000000000000044,-0.25501202822375746,-0.01626404399597936,0.3906233970689267,-0.04163612348368759,-0.5230616197660927,sharpe_ratio
24,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,36.84615752028039,1.5744646375945353,0.050000000000000044,-0.09076250613688752,0.03882904931013931,0.36888161615112547,0.10526154627947522,-0.5367477067381419,sharpe_ratio
25,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,25.78838802070515,1.6062450896682305,0.050000000000000044,-0.3823535689252664,-0.07777426675337495,0.374809881965893,-0.20750324496634343,-0.5945820053103359,sharpe_ratio
26,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,36.001390317280425,1.632309172897237,0.050000000000000044,0.029567581349575933,0.08106069653131653,0.3711725617704042,0.21839086419717135,-0.38765113942462726,sharpe_ratio
27,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,26.392250094487352,1.606473702148509,0.050000000000000044,-0.1324064231957851,0.00806505395154078,0.3240385646355372,0.02488917935003187,-0.4409577179104647,sharpe_ratio
28,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,29.701689051362035,1.6279144965973231,0.050000000000000044,0.06919879956387032,0.07245403903914971,0.31399092539080736,0.2307520159984564,-0.40996493862803507,sharpe_ratio
29,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,28.82179316573147,1.5687295618500006,0.050000000000000044,0.009871595446999226,0.06916306415432527,0.35759421130605773,0.19341214697440945,-0.41542599394654023,sharpe_ratio
30,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,32.25852016307209,1.5523784097704636,0.050000000000000044,-0.03744192360270826,0.044732385979962874,0.3342943468575391,0.13381137431865026,-0.4209285771168366,sharpe_ratio
31,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,46.60240140888698,1.6068221968894174,0.050000000000000044,0.13894987350072552,0.10552118422317625,0.34637377907047096,0.30464541659692895,-0.40784081302282027,sharpe_ratio
32,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,40.74387965705997,1.6040945604951204,0.050000000000000044,0.3194220486822861,0.1415576836297341,0.30378327950709283,0.465982472305323,-0.43887316045902836,sharpe_ratio
33,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,42.84559532814611,1.5619241329296956,0.050000000000000044,0.5193236548712303,0.19892361214488963,0.3209436606817656,0.6198085100740905,-0.36789867230783346,sharpe_ratio
34,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,33.55263718739087,1.520802949178832,0.050000000000000044,0.25020756346129014,0.13096793643873017,0.32728315438843253,0.4001670562099639,-0.3920651997476112,sharpe_ratio
35,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,34.420454398086484,1.5246559390244518,0.050000000000000044,1.1765378260816246,0.34056409201742044,0.3194167592012876,1.0662060840796597,-0.29932879045781413,sharpe_ratio
36,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,37.495341279722,1.5260813938591906,0.050000000000000044,0.32311813672806755,0.1409263200040174,0.29962756971874843,0.47033829409056305,-0.30273686210272055,sharpe_ratio
37,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,41.283650132225056,1.452848232580808,0.050000000000000044,1.2279947927703065,0.3598733267404446,0.33992490270636155,1.058684797363361,-0.31322835197787025,sharpe_ratio
38,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,37.08617967189496,1.413537150036118,0.050000000000000044,0.7117123236003775,0.24301905532071344,0.31707094053559653,0.7664501039111481,-0.33489035388816313,sharpe_ratio
39,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,53.42397955164463,1.4723413202391518,0.050000000000000044,0.15768514886123874,0.10118515754918977,0.31947051595288106,0.3167276868958813,-0.34943728208484703,sharpe_ratio
40,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,48.48857227028431,1.4191252466990458,0.050000000000000044,0.1573003402830484,0.09021480921754121,0.286736552694416,0.3146261206316654,-0.3564153432668603,sharpe_ratio
41,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,50.22540310900233,1.379609544673759,0.050000000000000044,0.6453584553263936,0.23691657626679996,0.3413178449215066,0.6941230287015437,-0.2303082681094648,sharpe_ratio
42,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,51.237731938846544,1.3719434117227693,0.050000000000000044,0.402327676953512,0.16719977613142123,0.3164784926410418,0.5283132346091638,-0.349728028639846,sharpe_ratio
43,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,56.156249857472964,1.3377778179739503,0.050000000000000044,0.4786965431634902,0.18735048508873975,0.3180357501746806,0.5890862426184409,-0.27983949871669467,sharpe_ratio
44,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,55.73119044609065,1.289276225095442,0.050000000000000044,0.5792238463546902,0.21499739203346402,0.3260363660787549,0.6594276418279391,-0.2999238385864019,sharpe_ratio
45,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,44.08758496607128,1.2615132897037145,0.050000000000000044,-0.1144184227700571,0.012422180621721512,0.31971667688581634,0.038853714928852374,-0.4384753876195546,sharpe_ratio
46,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,48.39410947951632,1.2672122441177458,0.050000000000000044,-0.044014468375686344,0.04275746563265814,0.3371706347035957,0.12681254306219736,-0.40794627706596187,sharpe_ratio
47,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,45.43816634569325,1.2747133056481998,0.050000000000000044,0.2205799652485878,0.12077747819093099,0.3246341651062802,0.37204179711457763,-0.3347625164276794,sharpe_ratio
48,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,49.89103643548676,1.286490661865405,0.050000000000000044,-0.26691677637598465,-0.043984909657746374,0.3246707201898429,-0.13547544303356743,-0.4584129845879823,sharpe_ratio
49,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,39.034301906122444,1.2591976119863566,0.050000000000000044,-0.2757139306580598,-0.04975229477503229,0.31706551163721214,-0.1569148738950804,-0.44659129195479497,sharpe_ratio
50,42,sharpe_decay_seed42,sharpe,decay,0.005,20,1e-06,49.20728336871265,1.2280984782503697,0.050000000000000044,-0.043079651382381456,0.04420847866320177,0.34032180916385135,0.1299019853350543,-0.43329250135899855,sharpe_ratio
