dataset,strategy,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,comparison_group,run_name,reward_mode,sentiment_variant,seed,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance
train,double_dqn,2.4904715790043745,0.2887089612391742,0.29648234266398177,0.9737813005828225,-0.27894377783545277,profit_decay,profit_decay_seed45,profit,decay,45.0,0.005,20.0,1e-06
validation,double_dqn,0.13710473564244086,0.09664250482525882,0.32283849474945275,0.29935248242394624,-0.6036776650742512,profit_decay,profit_decay_seed45,profit,decay,45.0,0.005,20.0,1e-06
test,double_dqn,-0.3551819145182715,-0.15851821393975785,0.31315807554134356,-0.5061923236874345,-0.5174681213990142,profit_decay,profit_decay_seed45,profit,decay,45.0,0.005,20.0,1e-06
train,double_dqn,2.952854996213579,0.3024697697863834,0.25691584717792876,1.1773106762733323,-0.21959548307444288,profit_decay,profit_decay_seed46,profit,decay,46.0,0.005,20.0,1e-06
validation,double_dqn,0.16477660116172,0.09836507195204547,0.3042765524119319,0.3232752283155821,-0.518741219264194,profit_decay,profit_decay_seed46,profit,decay,46.0,0.005,20.0,1e-06
test,double_dqn,-0.5083438658801336,-0.28353782072042943,0.22321596361857954,-1.2702398884200097,-0.5441402158069216,profit_decay,profit_decay_seed46,profit,decay,46.0,0.005,20.0,1e-06
train,double_dqn,41.39892170079433,0.9269254186976603,0.22829111162323232,4.060278177748076,-0.10537209143664783,sharpe_none,sharpe_none_seed42,sharpe,none,42.0,0.005,20.0,1e-06
validation,double_dqn,0.45660666928932536,0.15635161910735818,0.23649851567290275,0.6611103611474904,-0.2468954935717692,sharpe_none,sharpe_none_seed42,sharpe,none,42.0,0.005,20.0,1e-06
test,double_dqn,-0.34653500729818054,-0.16499085113126255,0.25686398350676637,-0.6423276976350261,-0.39492493804637785,sharpe_none,sharpe_none_seed42,sharpe,none,42.0,0.005,20.0,1e-06
train,double_dqn,2.524987677946641,0.2788814285929644,0.2634108837758653,1.0587316081831413,-0.2625896879242381,sharpe_none,sharpe_none_seed43,sharpe,none,43.0,0.005,20.0,1e-06
validation,double_dqn,0.046554046974349284,0.05534090156432514,0.28180470352757575,0.19638033315831369,-0.428260872842368,sharpe_none,sharpe_none_seed43,sharpe,none,43.0,0.005,20.0,1e-06
test,double_dqn,-0.033759219840522436,0.02045119091095282,0.27446529996046853,0.07451284702983738,-0.3896356030107643,sharpe_none,sharpe_none_seed43,sharpe,none,43.0,0.005,20.0,1e-06
train,double_dqn,1.2321775565036117,0.16897824737984557,0.203895726917104,0.8287483506142602,-0.3446103610395028,sharpe_none,sharpe_none_seed44,sharpe,none,44.0,0.005,20.0,1e-06
validation,double_dqn,0.9747959472786445,0.28529252812320816,0.2787799801429866,1.0233608883137206,-0.29685838017566013,sharpe_none,sharpe_none_seed44,sharpe,none,44.0,0.005,20.0,1e-06
test,double_dqn,-0.20040011669230684,-0.06175981550770404,0.30935435395063254,-0.19964100947342675,-0.3955588162045095,sharpe_none,sharpe_none_seed44,sharpe,none,44.0,0.005,20.0,1e-06
train,double_dqn,91.57704849048821,1.1805723253235163,0.18712938454814457,6.308855918989993,-0.05297172286374685,sharpe_none,sharpe_none_seed45,sharpe,none,45.0,0.005,20.0,1e-06
validation,double_dqn,0.77611148801739,0.22148525601124125,0.20535470217130006,1.0785497174858243,-0.19040044067993522,sharpe_none,sharpe_none_seed45,sharpe,none,45.0,0.005,20.0,1e-06
test,double_dqn,-0.456064616353681,-0.2419004572717789,0.24041916658829873,-1.0061612836634475,-0.46163803749125676,sharpe_none,sharpe_none_seed45,sharpe,none,45.0,0.005,20.0,1e-06
train,double_dqn,12.70941566424388,0.5878223892069558,0.20835789425505616,2.821214868333175,-0.10913987447245466,sharpe_none,sharpe_none_seed46,sharpe,none,46.0,0.005,20.0,1e-06
validation,double_dqn,0.22455559063879926,0.10682231297799438,0.27691431614687495,0.3857594452478072,-0.393409529062551,sharpe_none,sharpe_none_seed46,sharpe,none,46.0,0.005,20.0,1e-06
test,double_dqn,-0.18020279977717824,-0.059684387844148756,0.27387937242768645,-0.21792217250646534,-0.3410009163414085,sharpe_none,sharpe_none_seed46,sharpe,none,46.0,0.005,20.0,1e-06
train,double_dqn,1.4190413006010045,0.2130713369957653,0.29999380615317045,0.7102524539689183,-0.24513471091505024,sharpe_sparse,sharpe_sparse_seed42,sharpe,sparse,42.0,0.005,20.0,1e-06
validation,double_dqn,0.4840285468921368,0.17541367268260655,0.27682967085419125,0.633651993087831,-0.4413874566749879,sharpe_sparse,sharpe_sparse_seed42,sharpe,sparse,42.0,0.005,20.0,1e-06
test,double_dqn,0.02925386941666952,0.053058789197660605,0.26776604907298385,0.19815353507792394,-0.2777286710449778,sharpe_sparse,sharpe_sparse_seed42,sharpe,sparse,42.0,0.005,20.0,1e-06
train,double_dqn,23.949839356767434,0.7708522828462236,0.2482313285874273,3.1053787095802807,-0.13912238833059365,sharpe_sparse,sharpe_sparse_seed43,sharpe,sparse,43.0,0.005,20.0,1e-06
validation,double_dqn,0.5735830181879438,0.185281150575773,0.23856794509857915,0.7766389172661591,-0.25227542741816145,sharpe_sparse,sharpe_sparse_seed43,sharpe,sparse,43.0,0.005,20.0,1e-06
test,double_dqn,-0.41193495565246474,-0.2077375471918218,0.2600314705266607,-0.7988938676194686,-0.4584474313429834,sharpe_sparse,sharpe_sparse_seed43,sharpe,sparse,43.0,0.005,20.0,1e-06
train,double_dqn,21.919637894324442,0.7328680972202677,0.21252113000060205,3.4484481482767926,-0.09135408108668397,sharpe_sparse,sharpe_sparse_seed44,sharpe,sparse,44.0,0.005,20.0,1e-06
validation,double_dqn,0.6630593487984104,0.21902802156718604,0.2802542347820845,0.7815333164813523,-0.3372920199716809,sharpe_sparse,sharpe_sparse_seed44,sharpe,sparse,44.0,0.005,20.0,1e-06
test,double_dqn,-0.2601885423707887,-0.10649072147918703,0.2767740714182436,-0.3847568557759333,-0.36459811966933986,sharpe_sparse,sharpe_sparse_seed44,sharpe,sparse,44.0,0.005,20.0,1e-06
train,double_dqn,19.224777307378226,0.7203978048263042,0.2731506812065186,2.637364115821624,-0.17654636719106187,sharpe_sparse,sharpe_sparse_seed45,sharpe,sparse,45.0,0.005,20.0,1e-06
validation,double_dqn,0.4154080679500216,0.15511341982274995,0.2681147502062606,0.5785337050774761,-0.2740305591006177,sharpe_sparse,sharpe_sparse_seed45,sharpe,sparse,45.0,0.005,20.0,1e-06
test,double_dqn,-0.16488492058358295,-0.05119915616719328,0.27219845818832655,-0.1880949528809234,-0.3432668426582781,sharpe_sparse,sharpe_sparse_seed45,sharpe,sparse,45.0,0.005,20.0,1e-06
train,double_dqn,8.977907567542545,0.5247422140235096,0.26610728374044873,1.9719197710323626,-0.2851240647352332,sharpe_sparse,sharpe_sparse_seed46,sharpe,sparse,46.0,0.005,20.0,1e-06
validation,double_dqn,0.07490082908840767,0.06456150825932472,0.2828738905448225,0.22823424295178876,-0.3547314901709685,sharpe_sparse,sharpe_sparse_seed46,sharpe,sparse,46.0,0.005,20.0,1e-06
test,double_dqn,-0.44873692312270763,-0.22622267185722222,0.29241032238390463,-0.7736480368166181,-0.47998063104730626,sharpe_sparse,sharpe_sparse_seed46,sharpe,sparse,46.0,0.005,20.0,1e-06
train,double_dqn,1.6355379512473327,0.23759388263834902,0.31809767545408374,0.7469211533821625,-0.32333382147286904,sharpe_decay,sharpe_decay_seed42,sharpe,decay,42.0,0.005,20.0,1e-06
validation,double_dqn,0.23603298986257326,0.12407265274284285,0.3187370358868227,0.3892633700305183,-0.4228335102132392,sharpe_decay,sharpe_decay_seed42,sharpe,decay,42.0,0.005,20.0,1e-06
test,double_dqn,0.15673797426556813,0.10583283663278809,0.23336118011807036,0.4535151758284792,-0.26736288183115353,sharpe_decay,sharpe_decay_seed42,sharpe,decay,42.0,0.005,20.0,1e-06
train,double_dqn,9.157182962342416,0.5222273685609031,0.24827798953474778,2.1033977661069096,-0.17354579977210238,sharpe_decay,sharpe_decay_seed43,sharpe,decay,43.0,0.005,20.0,1e-06
validation,double_dqn,0.2638347291758547,0.11393426081681701,0.2646949954233051,0.4304360217865519,-0.34771748392543855,sharpe_decay,sharpe_decay_seed43,sharpe,decay,43.0,0.005,20.0,1e-06
test,double_dqn,-0.3612374067962094,-0.16897079246567348,0.2822427081256285,-0.5986719500666895,-0.3852064363608003,sharpe_decay,sharpe_decay_seed43,sharpe,decay,43.0,0.005,20.0,1e-06
train,double_dqn,11.558293517647238,0.5648343500854529,0.20970727141366782,2.693441892967377,-0.114714052884341,sharpe_decay,sharpe_decay_seed44,sharpe,decay,44.0,0.005,20.0,1e-06
validation,double_dqn,0.6589138090409612,0.21482282025230992,0.27086986460052853,0.7930849766884358,-0.34207490816329555,sharpe_decay,sharpe_decay_seed44,sharpe,decay,44.0,0.005,20.0,1e-06
test,double_dqn,-0.417034003538546,-0.20480884281831835,0.28886576647264367,-0.7090104352594314,-0.47269658589597074,sharpe_decay,sharpe_decay_seed44,sharpe,decay,44.0,0.005,20.0,1e-06
train,double_dqn,6.667730486162133,0.44825599557249207,0.23445203336804066,1.9119305093371655,-0.15628480501784925,sharpe_decay,sharpe_decay_seed45,sharpe,decay,45.0,0.005,20.0,1e-06
validation,double_dqn,0.61523191506202,0.19757208618309274,0.24864908031980607,0.7945820106351513,-0.2208141573638266,sharpe_decay,sharpe_decay_seed45,sharpe,decay,45.0,0.005,20.0,1e-06
test,double_dqn,-0.32889324620339033,-0.15104011931881367,0.26910043234761294,-0.5612778768177756,-0.39938441397141355,sharpe_decay,sharpe_decay_seed45,sharpe,decay,45.0,0.005,20.0,1e-06
train,double_dqn,0.4542498636333452,0.10609188309008188,0.27748253927927513,0.3823371494496258,-0.2955348978995981,sharpe_decay,sharpe_decay_seed46,sharpe,decay,46.0,0.005,20.0,1e-06
validation,double_dqn,0.4131463029272531,0.14647845274295124,0.23904902941295098,0.6127548524362069,-0.3672229406234029,sharpe_decay,sharpe_decay_seed46,sharpe,decay,46.0,0.005,20.0,1e-06
test,double_dqn,-0.20998505298668035,-0.0908366877672524,0.2181753285606744,-0.4163472028047882,-0.3900299247031711,sharpe_decay,sharpe_decay_seed46,sharpe,decay,46.0,0.005,20.0,1e-06
