seed,run_name,reward_mode,sentiment_variant,differential_sharpe_eta,differential_sharpe_warmup_steps,differential_sharpe_min_variance,dataset,strategy,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,comparison_group
45,profit_none_seed45,profit,none,0.005,20,1e-06,test,double_dqn,2.371044763257016,0.9878390951426661,0.3908121680544645,2.52765695618003,-0.29876510566607684,profit_none
46,profit_none_seed46,profit,none,0.005,20,1e-06,train,double_dqn,1.682735157423671,0.22631685307215532,0.2737238718326418,0.8268071453063776,-0.46472964984049236,profit_none
46,profit_none_seed46,profit,none,0.005,20,1e-06,validation,double_dqn,1.52269575018075,0.37883058896781474,0.2559455552650858,1.4801217726772224,-0.25361150612581285,profit_none
46,profit_none_seed46,profit,none,0.005,20,1e-06,test,double_dqn,0.22459468076962708,0.1919515033931325,0.3863735988585,0.4968028456401601,-0.45173802883816117,profit_none
42,profit_sparse_seed42,profit,sparse,0.005,20,1e-06,train,double_dqn,7.567684937658351,0.4829465438878471,0.2552018440830008,1.8924100867028828,-0.29353359332292095,profit_sparse
42,profit_sparse_seed42,profit,sparse,0.005,20,1e-06,validation,double_dqn,1.229367280794671,0.3357978821395573,0.28147191423035034,1.1930067092404388,-0.32882351732356485,profit_sparse
42,profit_sparse_seed42,profit,sparse,0.005,20,1e-06,test,double_dqn,1.6491410728632645,0.8488445989157791,0.5008097383751242,1.694944274985253,-0.3296878643444514,profit_sparse
43,profit_sparse_seed43,profit,sparse,0.005,20,1e-06,train,double_dqn,11.270529143461909,0.5944195889415185,0.2970164039637984,2.001302221051632,-0.5014646640187479,profit_sparse
43,profit_sparse_seed43,profit,sparse,0.005,20,1e-06,validation,double_dqn,1.61208796280651,0.39577902512027796,0.2605424656472191,1.5190576481922624,-0.2829432652429633,profit_sparse
43,profit_sparse_seed43,profit,sparse,0.005,20,1e-06,test,double_dqn,1.23646632852315,0.6562011525384597,0.4482453932903085,1.463932842057046,-0.3803272455670472,profit_sparse
44,profit_sparse_seed44,profit,sparse,0.005,20,1e-06,train,double_dqn,3.606140868573118,0.34599898749076385,0.28118579333548693,1.2304995333741748,-0.33128435657788213,profit_sparse
44,profit_sparse_seed44,profit,sparse,0.005,20,1e-06,validation,double_dqn,1.8887548863966077,0.4453327883781282,0.27409712203620035,1.6247262469224777,-0.2640450769909889,profit_sparse
44,profit_sparse_seed44,profit,sparse,0.005,20,1e-06,test,double_dqn,0.621021813607068,0.40991032188258725,0.44716001071662054,0.9166971823479099,-0.30486296165257376,profit_sparse
45,profit_sparse_seed45,profit,sparse,0.005,20,1e-06,train,double_dqn,4.609170308259612,0.39414059035345494,0.2883235936898604,1.3670077613468505,-0.31954243635486745,profit_sparse
45,profit_sparse_seed45,profit,sparse,0.005,20,1e-06,validation,double_dqn,2.46182480766819,0.5330974779618574,0.28302540017201017,1.8835676149132359,-0.3287921981474684,profit_sparse
45,profit_sparse_seed45,profit,sparse,0.005,20,1e-06,test,double_dqn,1.3531004271428277,0.7499563077643869,0.5102261611550831,1.4698507541569157,-0.41345708960615357,profit_sparse
46,profit_sparse_seed46,profit,sparse,0.005,20,1e-06,train,double_dqn,5.696796766861234,0.44455242558105335,0.3071457349041518,1.4473664292287203,-0.3182056330111539,profit_sparse
46,profit_sparse_seed46,profit,sparse,0.005,20,1e-06,validation,double_dqn,2.367715909400147,0.49609496919789864,0.21902927377303844,2.264971072825453,-0.2287607180214617,profit_sparse
46,profit_sparse_seed46,profit,sparse,0.005,20,1e-06,test,double_dqn,1.1202556080560977,0.5447319276716616,0.3337406809960667,1.632201163028374,-0.20261610408902175,profit_sparse
42,profit_decay_seed42,profit,decay,0.005,20,1e-06,train,double_dqn,18.137319453072326,0.7177844840435028,0.29783560679156984,2.4100022551897897,-0.25764163084432246,profit_decay
42,profit_decay_seed42,profit,decay,0.005,20,1e-06,validation,double_dqn,1.677214695473816,0.41526637795259447,0.28393356939563674,1.4625476615410589,-0.23443249499409224,profit_decay
42,profit_decay_seed42,profit,decay,0.005,20,1e-06,test,double_dqn,0.56442617609634,0.37869825374087274,0.440042704674413,0.8605943235011044,-0.29695191848173585,profit_decay
43,profit_decay_seed43,profit,decay,0.005,20,1e-06,train,double_dqn,1.6340304944617148,0.23066186708912095,0.2970787007801746,0.7764335392721431,-0.462484382634732,profit_decay
43,profit_decay_seed43,profit,decay,0.005,20,1e-06,validation,double_dqn,2.4551736200240564,0.5366513736661966,0.2928869085250581,1.8322818741496707,-0.17693192862358342,profit_decay
43,profit_decay_seed43,profit,decay,0.005,20,1e-06,test,double_dqn,0.8602009988712622,0.5123430369771933,0.4532841057724695,1.130291202476817,-0.41854291406586464,profit_decay
44,profit_decay_seed44,profit,decay,0.005,20,1e-06,train,double_dqn,2.2608329434902124,0.2425269169909816,0.1904915499761963,1.273163649627963,-0.22835690585539592,profit_decay
44,profit_decay_seed44,profit,decay,0.005,20,1e-06,validation,double_dqn,1.2418396767276918,0.3242120839308875,0.2417594916934066,1.3410521409519063,-0.36533305882830736,profit_decay
44,profit_decay_seed44,profit,decay,0.005,20,1e-06,test,double_dqn,0.2036252059702326,0.1772724425402612,0.3726563705031706,0.47569948234321935,-0.32031421161876483,profit_decay
45,profit_decay_seed45,profit,decay,0.005,20,1e-06,train,double_dqn,17.5906440949559,0.701751561270904,0.2824688148562191,2.4843505702677517,-0.18469621088457988,profit_decay
45,profit_decay_seed45,profit,decay,0.005,20,1e-06,validation,double_dqn,1.8740680172190989,0.4532986772676062,0.29867487804622556,1.5176993801181018,-0.46147725477137336,profit_decay
45,profit_decay_seed45,profit,decay,0.005,20,1e-06,test,double_dqn,0.9287506765795905,0.5323332083374792,0.4400524192589924,1.209704083058739,-0.3290036398439913,profit_decay
46,profit_decay_seed46,profit,decay,0.005,20,1e-06,train,double_dqn,26.67927353487197,0.8211264723706098,0.28306699572398064,2.900820246706869,-0.36918737662556655,profit_decay
46,profit_decay_seed46,profit,decay,0.005,20,1e-06,validation,double_dqn,1.0940898397286123,0.2953431590494282,0.2373739762181383,1.2442103542892935,-0.34862962502165185,profit_decay
46,profit_decay_seed46,profit,decay,0.005,20,1e-06,test,double_dqn,0.06086412495395033,0.12320664220119126,0.41892785597120524,0.29409990394541774,-0.31646538869463614,profit_decay
42,sharpe_none_seed42,sharpe,none,0.005,20,1e-06,train,double_dqn,169.69320253594663,1.4243001845757917,0.20166516965906944,7.062697971016419,-0.07342331649745182,sharpe_none
42,sharpe_none_seed42,sharpe,none,0.005,20,1e-06,validation,double_dqn,1.678746875219268,0.3930863619093794,0.22032679323942841,1.7841060369004405,-0.23437040941132536,sharpe_none
42,sharpe_none_seed42,sharpe,none,0.005,20,1e-06,test,double_dqn,0.3691015957944732,0.23483504296054103,0.3291745972027191,0.7134057274046578,-0.19552810738331927,sharpe_none
43,sharpe_none_seed43,sharpe,none,0.005,20,1e-06,train,double_dqn,24.047874770496154,0.7751552944691291,0.2522770320248821,3.0726352226653573,-0.13348883360583463,sharpe_none
43,sharpe_none_seed43,sharpe,none,0.005,20,1e-06,validation,double_dqn,2.4567632240521626,0.5235989304252824,0.261124491484842,2.0051697466136633,-0.25008154458772425,sharpe_none
43,sharpe_none_seed43,sharpe,none,0.005,20,1e-06,test,double_dqn,0.5041214864336032,0.33093296535763517,0.4055018071671582,0.8161072515793157,-0.31857878330668465,sharpe_none
44,sharpe_none_seed44,sharpe,none,0.005,20,1e-06,train,double_dqn,0.8548756062487983,0.1650304284543047,0.31068151988948506,0.5311884289513228,-0.5789294112570773,sharpe_none
